artist_popularity,followers,genres,id,name
17,0,[],2abmxnEVQZwz9OyQI9wvth,Ulla Bundies
25,6,[],6eMxeu40Pztq2Y7ASquqi6,Mathieu Romano
41,15868,"['brostep', 'zapstep']",3z8SEnYy9gIRNrSVNJieXx,Oolacile
9,175,[],0Kw0fUQEISOSWhdGKvie61,Shaka Shams
17,0,[],3zUhefdYPJXQFFVI7Bcqch,Mathieu Dubroca
25,62,['viola'],2qzpSZAf2BgnOlNVGliHKP,Adrien La Marca
40,21839,"['brostep', 'filthstep', 'zapstep']",5cfALf5vLhWIo7VeIh4fQX,xKore
8,65,[],0cXXbmYm9D3A9BumYL1rtG,Krankk
23,17,[],271iZQZ7yhCtFfjrOFKrBc,Michelle Naughton
37,9454,"['brostep', 'zapstep']",58MEqEE2029jp6KTWTt1hO,Gentlemens Club
27,0,[],48kI1YFUxGb92t9VvM1MxU,Josef Zák
8,29,[],1wNvdIa8eT2esC69lK54vk,Miss Angel
10,62,[],62NpTSEcCWRqHFbfe1VlJG,Edsonn
20,13,[],3qes1v684M3fbpOnz9Mc8E,Marie Perbost
42,24060,"['bass trap', 'brostep', 'edm', 'electro house', 'filthstep', 'jump up', 'zapstep']",34krK3AW06onvB0x7mfkkN,Terravita
22,1,[],0jvOX2nt5fuDtuMF5kZoU8,Pablo Sosa del Rosario
10,52,[],2sCOfelbeUsXIEfp8QDcCY,Sid Banks
7,302,['belgian hip hop'],7iy8L2sZVT2ae2pWZWadrs,Masai Jr
33,133,[],25iprcvBsfduvCePYhpsLX,Fort Worth Symphony Orchestra
43,21777,"['brostep', 'electro house', 'electronic trap', 'filthstep', 'zapstep']",3eIM4tCQTGJXb0RDPfF2wL,AFK
33,386,[],5gBMpIeE2zqYUoBOYD9lKB,Alex Lucas
17,637,['belgian hip hop'],6MuiAYubYY3YXAc1LkBNpR,Bringhim
32,1439,['classical cello'],4u14mki7TR1Ea0OmCkCZL0,Edgar Moreau
35,217,[],44Obo7V2p3c2Yxk05tKu2v,Jay Fresh
5,18,[],1vrf07lFwtwOmZxqH2Z33s,Camilo Velez
1,21,[],7HNAsNFhHbi6TE8w3nuxiE,1KMARLON
21,961,['belgian hip hop'],6x3oW98rxl8hjaTP7Ykt0t,BEFFROI
26,22,[],3bXdiDkHd5cWMFSzWB1Tkl,Raphaël Merlin
10,57,[],3H3D3CuJjtR91t1XLWtSBU,M13
3,54,[],3EIuONvXk0B7gF0pLjKmm5,Toño Restrepo
5,138,['belgian hip hop'],1KqP5MKz8cYj26nv20rU1g,Amazumi
24,2048,['indie psych-rock'],6edn7w0sjyIO56ONYW8JLE,Bad Wave
7,126,[],714BxIYCFvSENkMWlaCwfi,Miss Angel
30,931,[],1mSveHHqVJP7XSIXCMk5wt,Peet
5,69,[],5sybGvUyQHfibELlCwwoQY,Kai wén
27,5,[],1Szfi4xaaO20Ecj2eDBwjn,Dudu Portes
18,171,['belgian hip hop'],7Deq6h1m0Wfx2CVkRnz2DB,Amo Achille
18,1306,['belgian hip hop'],3RTgdkPnB4iu9KNOnPHvp1,IAMGUNZ
38,896,['jazz saxophone'],210tC5HRo1NpbeqCvWlJuv,Jim Snidero
42,29,[],4emLm5IIufRxMupCYZB3DP,Ko Omura
2,24,[],5Nln6cLGsUqsNv0JhV88oV,David Jahmill
42,180,[],4d73pkSAEvk4LdXH4DTyxq,Davy Mooney
10,108,[],76BA0HV1NClEUVOhhZhlfS,Kiid Le Roi
40,628,[],2MGK5rV3sBiI1UW1hjYDD8,Echoes of Swing
37,3683,"['jazz piano', 'stride']",6dz608P8sHylVvVVo5OLx2,Marcus Roberts
7,33,[],1WPGDHmfS71j279x4Xglwu,Fredo $avage
40,87,[],6WPu073KUfyLXE41VEW9Ik,Anders Mogensen
5,85,[],5aQKOvhimUGFQDDhFq52qs,Flexuptown
41,5787,"['british jazz', 'jazz saxophone']",2OfIB3yNJjX3AElLJnz8am,Courtney Pine
9,131,[],5jbhnx6fldux0SmOJJZR8G,Stereocuco
61,126448,"['belgian hip hop', 'french hip hop', 'trap francais']",1mMUzAMrNqoTHgtxA0dZi6,Caballero & JeanJass
37,459,[],7vRtxQT9nKIPHA36iDrCul,Yelena Eckemoff
37,478,['jazz double bass'],398OLP0K6sxmwsYaB7Wnmj,Robert Hurst
5,74,[],6sWXBJvbGa2FPtH4lQhAlW,Tropickup
26,38,[],7oOwWjMYXYePllX28E6sQh,Anser
40,1080,['jazz drums'],7KLg0R9RSUabK2CG2MTbBJ,Jimmy Cobb
40,118,[],6sGRzzszXhAo63o0iHBs7R,Carl Winther
36,10,[],7ffoD3rhARHcuKeMTThKa4,Eugene Ramey
22,1280,['colombian indie'],5cV9Dza9Slv8jlGAzYYiCy,Lucio Feuillet
6,8,[],3uNXTOgcQ6TicgSBpOHMLl,Jazz Maeson
32,41438,['brazilian gospel'],40dDbzt73FjgMz9bUK65R5,Elias Silva
36,41,[],4REsbbka8Bf33uErWPdAnH,"Gus Johnson, Jr."
4,0,[],5ImRopHLaLeCh23taUFeQI,Nancy Cano
40,886,[],3z5maWY94RqkaIis3Xh3M8,Josly Meso
34,300,[],4RGnzKivDOho4IMMMdSNXJ,Massao Suguihara
40,2035,"['contemporary jazz', 'jazz saxophone']",0UNmTLmOIClt5YDeEkZuk1,Chris Cheek
37,1019,['jazz saxophone'],6epXhvywkJ2aWjO6e5LJ0U,Buddy Tate
4,38,['colombian rock'],3OIqsixUgypKXGmU50iCZ5,Trópico Esmeralda
15,9,[],2vITZovJRCRAywLXzKqEje,Adriana Lizcano
